gameId,gameType,startTimeUTC,homeTeam.id,homeTeam.name.default,homeTeam.abbrev,homeTeam.logo,awayTeam.id,awayTeam.name.default,awayTeam.abbrev,awayTeam.logo,home_odds_description,home_odds_value,away_odds_description,away_odds_value,currentOddsDate,lastUpdatedUTC,bettingPartner,homeTeam.name.fr,awayTeam.name.fr
2024010036,1,2024-09-26T23:00:00Z,3,Rangers,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,6,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,MONEY_LINE_3_WAY,-130.0,MONEY_LINE_3_WAY,210.0,2024-09-26,2024-09-26T20:00:39Z,DraftKings,,
2024010037,1,2024-09-26T23:00:00Z,9,Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,7,Sabres,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,MONEY_LINE_2_WAY,-258.0,MONEY_LINE_2_WAY,210.0,2024-09-26,2024-09-26T20:00:39Z,DraftKings,Sénateurs,
2024010038,1,2024-09-26T23:00:00Z,10,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,8,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,MONEY_LINE_3_WAY,-210.0,MONEY_LINE_3_WAY,330.0,2024-09-26,2024-09-26T20:00:39Z,DraftKings,,
2024010040,1,2024-09-27T02:00:00Z,24,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,28,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,MONEY_LINE_2_WAY,-265.0,MONEY_LINE_2_WAY,215.0,2024-09-26,2024-09-26T20:00:39Z,DraftKings,,
2024010041,1,2024-09-27T23:00:00Z,17,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,16,Blackhawks,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,MONEY_LINE_2_WAY,-225.0,MONEY_LINE_2_WAY,185.0,2024-09-27,2024-09-27T20:00:39Z,DraftKings,,
2024010042,1,2024-09-27T23:00:00Z,15,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,29,Blue Jackets,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,MONEY_LINE_2_WAY,-250.0,MONEY_LINE_2_WAY,205.0,2024-09-27,2024-09-27T20:00:39Z,DraftKings,,
2024010043,1,2024-09-27T22:00:00Z,12,Hurricanes,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,13,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,MONEY_LINE_2_WAY,-485.0,MONEY_LINE_2_WAY,370.0,2024-09-27,2024-09-27T20:00:39Z,DraftKings,,
2024010045,1,2024-09-27T23:00:00Z,2,Islanders,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,1,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,MONEY_LINE_2_WAY,136.0,MONEY_LINE_2_WAY,-162.0,2024-09-27,2024-09-27T20:00:39Z,DraftKings,,
2024010046,1,2024-09-28T00:00:00Z,25,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,21,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,MONEY_LINE_2_WAY,-340.0,MONEY_LINE_2_WAY,270.0,2024-09-27,2024-09-27T20:00:39Z,DraftKings,,
2024010047,1,2024-09-28T00:00:00Z,30,Wild,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,52,Jets,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,MONEY_LINE_2_WAY,-198.0,MONEY_LINE_2_WAY,164.0,2024-09-27,2024-09-27T20:00:39Z,DraftKings,,
