gameType,gameid,homeTeam.id,homeTeam.abbrev,awayTeam.id,awayTeam.abbrev,odds_description,home_odds_value,away_odds_value,bettingPartner,startTimeUTC,lastUpdatedUTC
2,2025020001,13,FLA,16,CHI,PUCK_LINE,-110.0,-110.0,DraftKings,2025-10-07T21:00:00Z,2025-10-06T20:00:38Z
2,2025020001,13,FLA,16,CHI,OVER_UNDER,-118.0,-102.0,DraftKings,2025-10-07T21:00:00Z,2025-10-06T20:00:38Z
2,2025020001,13,FLA,16,CHI,MONEY_LINE_3_WAY,380.0,380.0,DraftKings,2025-10-07T21:00:00Z,2025-10-06T20:00:38Z
2,2025020001,13,FLA,16,CHI,MONEY_LINE_2_WAY_TNB,-380.0,265.0,DraftKings,2025-10-07T21:00:00Z,2025-10-06T20:00:38Z
2,2025020001,13,FLA,16,CHI,MONEY_LINE_2_WAY,-290.0,235.0,DraftKings,2025-10-07T21:00:00Z,2025-10-06T20:00:38Z
2,2025020002,3,NYR,5,PIT,PUCK_LINE,120.0,-142.0,DraftKings,2025-10-08T00:00:00Z,2025-10-06T20:00:38Z
2,2025020002,3,NYR,5,PIT,OVER_UNDER,-130.0,110.0,DraftKings,2025-10-08T00:00:00Z,2025-10-06T20:00:38Z
2,2025020002,3,NYR,5,PIT,MONEY_LINE_3_WAY,-140.0,265.0,DraftKings,2025-10-08T00:00:00Z,2025-10-06T20:00:38Z
2,2025020002,3,NYR,5,PIT,MONEY_LINE_2_WAY_TNB,-255.0,185.0,DraftKings,2025-10-08T00:00:00Z,2025-10-06T20:00:38Z
2,2025020002,3,NYR,5,PIT,MONEY_LINE_2_WAY,-225.0,185.0,DraftKings,2025-10-08T00:00:00Z,2025-10-06T20:00:38Z
2,2025020003,26,LAK,21,COL,PUCK_LINE,-290.0,235.0,DraftKings,2025-10-08T02:30:00Z,2025-10-06T20:00:38Z
2,2025020003,26,LAK,21,COL,OVER_UNDER,-122.0,102.0,DraftKings,2025-10-08T02:30:00Z,2025-10-06T20:00:38Z
2,2025020003,26,LAK,21,COL,MONEY_LINE_3_WAY,135.0,145.0,DraftKings,2025-10-08T02:30:00Z,2025-10-06T20:00:38Z
2,2025020003,26,LAK,21,COL,MONEY_LINE_2_WAY_TNB,-115.0,-115.0,DraftKings,2025-10-08T02:30:00Z,2025-10-06T20:00:38Z
2,2025020003,26,LAK,21,COL,MONEY_LINE_2_WAY,-112.0,-108.0,DraftKings,2025-10-08T02:30:00Z,2025-10-06T20:00:38Z
