gameid,date,time_start,tricode_for,id_for,tricode_against,id_against,metric_score_for,metric_score_against,period_ending,tricode_winteam
2024020001,2024-10-04,2024-10-04T17:00:00Z,BUF,7,NJD,1,1.0,4.0,REG,NJD
2024020002,2024-10-05,2024-10-05T14:00:00Z,NJD,1,BUF,7,3.0,1.0,REG,NJD
2024020003,2024-10-08,2024-10-08T20:30:00Z,SEA,55,STL,19,2.0,3.0,REG,STL
2024020004,2024-10-08,2024-10-08T23:00:00Z,FLA,13,BOS,6,6.0,4.0,REG,FLA
2024020005,2024-10-08,2024-10-09T02:00:00Z,UTA,59,CHI,16,5.0,2.0,REG,UTA
2024020006,2024-10-09,2024-10-09T23:00:00Z,MTL,8,TOR,10,1.0,0.0,REG,MTL
2024020007,2024-10-09,2024-10-09T23:30:00Z,PIT,5,NYR,3,0.0,6.0,REG,NYR
2024020008,2024-10-09,2024-10-10T02:00:00Z,EDM,22,WPG,52,0.0,6.0,REG,WPG
2024020009,2024-10-09,2024-10-10T02:00:00Z,VAN,23,CGY,20,5.0,6.0,OT,CGY
2024020010,2024-10-09,2024-10-10T02:00:00Z,VGK,54,COL,21,8.0,4.0,REG,VGK
2024020012,2024-10-10,2024-10-10T23:00:00Z,BUF,7,LAK,26,1.0,3.0,REG,LAK
2024020013,2024-10-10,2024-10-10T23:00:00Z,OTT,9,FLA,13,3.0,1.0,REG,OTT
2024020015,2024-10-10,2024-10-10T23:00:00Z,NJD,1,TOR,10,2.0,4.0,REG,TOR
2024020011,2024-10-10,2024-10-10T23:00:00Z,BOS,6,MTL,8,6.0,4.0,REG,BOS
2024020016,2024-10-10,2024-10-10T23:30:00Z,NYI,2,UTA,59,4.0,5.0,OT,UTA
2024020017,2024-10-10,2024-10-11T00:00:00Z,NSH,18,DAL,25,3.0,4.0,REG,DAL
2024020018,2024-10-10,2024-10-11T00:00:00Z,MIN,30,CBJ,29,3.0,2.0,REG,MIN
2024020014,2024-10-10,2024-10-11T00:00:00Z,DET,17,PIT,5,3.0,6.0,REG,PIT
2024020019,2024-10-10,2024-10-11T02:30:00Z,SJS,28,STL,19,4.0,5.0,OT,STL
2024020020,2024-10-11,2024-10-11T23:00:00Z,CAR,12,TBL,14,1.0,4.0,REG,TBL
2024020021,2024-10-11,2024-10-12T00:00:00Z,WPG,52,CHI,16,2.0,1.0,OT,WPG
2024020022,2024-10-11,2024-10-12T02:00:00Z,VAN,23,PHI,4,2.0,3.0,SO,PHI
2024020023,2024-10-11,2024-10-12T02:00:00Z,VGK,54,STL,19,4.0,3.0,REG,VGK
2024020024,2024-10-12,2024-10-12T17:00:00Z,BOS,6,LAK,26,2.0,1.0,OT,BOS
2024020026,2024-10-12,2024-10-12T23:00:00Z,TOR,10,PIT,5,4.0,2.0,REG,TOR
2024020030,2024-10-12,2024-10-12T23:00:00Z,NYR,3,UTA,59,5.0,6.0,OT,UTA
2024020027,2024-10-12,2024-10-12T23:00:00Z,MTL,8,OTT,9,4.0,1.0,REG,MTL
2024020025,2024-10-12,2024-10-12T23:00:00Z,BUF,7,FLA,13,5.0,2.0,REG,BUF
2024020028,2024-10-12,2024-10-12T23:00:00Z,DET,17,NSH,18,3.0,0.0,REG,DET
2024020031,2024-10-12,2024-10-12T23:00:00Z,WSH,15,NJD,1,3.0,5.0,REG,NJD
2024020032,2024-10-12,2024-10-13T00:00:00Z,DAL,25,NYI,2,3.0,0.0,REG,DAL
2024020033,2024-10-12,2024-10-13T00:00:00Z,MIN,30,SEA,55,4.0,5.0,SO,SEA
2024020034,2024-10-12,2024-10-13T01:00:00Z,COL,21,CBJ,29,4.0,6.0,REG,CBJ
2024020036,2024-10-12,2024-10-13T02:00:00Z,EDM,22,CHI,16,2.0,5.0,REG,CHI
2024020037,2024-10-12,2024-10-13T02:00:00Z,SJS,28,ANA,24,0.0,2.0,REG,ANA
2024020035,2024-10-12,2024-10-13T02:00:00Z,CGY,20,PHI,4,6.0,3.0,REG,CGY
2024020038,2024-10-13,2024-10-13T22:00:00Z,WPG,52,MIN,30,2.0,1.0,OT,WPG
2024020039,2024-10-13,2024-10-14T00:00:00Z,DAL,25,SEA,55,2.0,0.0,REG,DAL
2024020040,2024-10-13,2024-10-14T00:00:00Z,EDM,22,CGY,20,1.0,4.0,REG,CGY
2024020041,2024-10-13,2024-10-14T02:00:00Z,VGK,54,ANA,24,3.0,1.0,REG,VGK
2024020044,2024-10-14,2024-10-14T17:00:00Z,NJD,1,UTA,59,3.0,0.0,REG,NJD
2024020042,2024-10-14,2024-10-14T17:00:00Z,BOS,6,FLA,13,3.0,4.0,REG,FLA
2024020043,2024-10-14,2024-10-14T17:00:00Z,OTT,9,LAK,26,8.0,7.0,OT,OTT
2024020045,2024-10-14,2024-10-14T23:00:00Z,NYR,3,DET,17,4.0,1.0,REG,NYR
2024020046,2024-10-14,2024-10-14T23:30:00Z,MTL,8,PIT,5,3.0,6.0,REG,PIT
2024020047,2024-10-14,2024-10-15T01:00:00Z,COL,21,NYI,2,2.0,6.0,REG,NYI
2024020051,2024-10-15,2024-10-15T23:00:00Z,CBJ,29,FLA,13,3.0,4.0,REG,FLA
2024020048,2024-10-15,2024-10-15T23:00:00Z,TBL,14,VAN,23,4.0,1.0,REG,TBL
2024020049,2024-10-15,2024-10-15T23:00:00Z,WSH,15,VGK,54,4.0,2.0,REG,WSH
2024020050,2024-10-15,2024-10-15T23:00:00Z,CAR,12,NJD,1,4.0,2.0,REG,CAR
2024020052,2024-10-15,2024-10-15T23:30:00Z,STL,19,MIN,30,1.0,4.0,REG,MIN
2024020054,2024-10-15,2024-10-16T00:00:00Z,DAL,25,SJS,28,3.0,2.0,SO,DAL
2024020053,2024-10-15,2024-10-16T00:00:00Z,NSH,18,SEA,55,3.0,7.0,REG,SEA
2024020055,2024-10-15,2024-10-16T01:00:00Z,CGY,20,CHI,16,3.0,1.0,REG,CGY
2024020056,2024-10-15,2024-10-16T02:00:00Z,EDM,22,PHI,4,4.0,3.0,OT,EDM
2024020057,2024-10-16,2024-10-16T23:00:00Z,PIT,5,BUF,7,6.0,5.0,OT,PIT
2024020058,2024-10-16,2024-10-16T23:30:00Z,TOR,10,LAK,26,6.0,2.0,REG,TOR
2024020059,2024-10-16,2024-10-17T01:30:00Z,COL,21,BOS,6,3.0,5.0,REG,BOS
2024020060,2024-10-16,2024-10-17T02:00:00Z,ANA,24,UTA,59,5.0,4.0,OT,ANA
2024020064,2024-10-17,2024-10-17T23:00:00Z,TBL,14,VGK,54,4.0,3.0,REG,TBL
2024020062,2024-10-17,2024-10-17T23:00:00Z,OTT,9,NJD,1,1.0,3.0,REG,NJD
2024020065,2024-10-17,2024-10-17T23:00:00Z,FLA,13,VAN,23,2.0,3.0,OT,VAN
2024020067,2024-10-17,2024-10-17T23:00:00Z,CBJ,29,BUF,7,6.0,4.0,REG,CBJ
2024020061,2024-10-17,2024-10-17T23:00:00Z,MTL,8,LAK,26,1.0,4.0,REG,LAK
2024020066,2024-10-17,2024-10-17T23:00:00Z,WSH,15,DAL,25,3.0,2.0,REG,WSH
2024020063,2024-10-17,2024-10-17T23:30:00Z,DET,17,NYR,3,2.0,5.0,REG,NYR
2024020068,2024-10-17,2024-10-18T00:00:00Z,STL,19,NYI,2,1.0,0.0,OT,STL
2024020069,2024-10-17,2024-10-18T00:00:00Z,NSH,18,EDM,22,2.0,4.0,REG,EDM
2024020070,2024-10-17,2024-10-18T00:30:00Z,CHI,16,SJS,28,4.0,2.0,REG,CHI
2024020071,2024-10-17,2024-10-18T02:00:00Z,SEA,55,PHI,4,6.0,4.0,REG,SEA
2024020072,2024-10-18,2024-10-18T23:00:00Z,PIT,5,CAR,12,1.0,4.0,REG,CAR
2024020073,2024-10-18,2024-10-19T00:00:00Z,WPG,52,SJS,28,8.0,3.0,REG,WPG
2024020074,2024-10-18,2024-10-19T01:00:00Z,COL,21,ANA,24,4.0,3.0,OT,COL
2024020075,2024-10-19,2024-10-19T17:00:00Z,OTT,9,TBL,14,5.0,4.0,REG,OTT
2024020076,2024-10-19,2024-10-19T18:00:00Z,NSH,18,DET,17,2.0,5.0,REG,DET
2024020077,2024-10-19,2024-10-19T20:00:00Z,DAL,25,EDM,22,4.0,1.0,REG,DAL
2024020078,2024-10-19,2024-10-19T22:00:00Z,FLA,13,VGK,54,4.0,3.0,OT,FLA
2024020083,2024-10-19,2024-10-19T23:00:00Z,CBJ,29,MIN,30,1.0,3.0,REG,MIN
2024020080,2024-10-19,2024-10-19T23:00:00Z,NJD,1,WSH,15,5.0,6.0,OT,WSH
2024020084,2024-10-19,2024-10-19T23:00:00Z,STL,19,CAR,12,4.0,3.0,REG,STL
2024020081,2024-10-19,2024-10-19T23:00:00Z,NYI,2,MTL,8,4.0,3.0,SO,NYI
2024020082,2024-10-19,2024-10-19T23:00:00Z,PHI,4,VAN,23,0.0,3.0,REG,VAN
2024020079,2024-10-19,2024-10-19T23:00:00Z,TOR,10,NYR,3,1.0,4.0,REG,NYR
2024020085,2024-10-19,2024-10-20T00:00:00Z,CHI,16,BUF,7,2.0,4.0,REG,BUF
2024020086,2024-10-19,2024-10-20T01:00:00Z,UTA,59,BOS,6,2.0,1.0,OT,UTA
2024020087,2024-10-19,2024-10-20T02:00:00Z,SEA,55,CGY,20,2.0,1.0,OT,SEA
2024020088,2024-10-20,2024-10-20T19:00:00Z,WPG,52,PIT,5,6.0,3.0,REG,WPG
2024020089,2024-10-20,2024-10-21T00:00:00Z,SJS,28,COL,21,1.0,4.0,REG,COL
2024020090,2024-10-20,2024-10-21T00:00:00Z,ANA,24,LAK,26,1.0,4.0,REG,LAK
2024020091,2024-10-21,2024-10-21T23:30:00Z,TOR,10,TBL,14,5.0,2.0,REG,TOR
2024020092,2024-10-22,2024-10-22T22:00:00Z,PHI,4,WSH,15,1.0,4.0,REG,WSH
2024020093,2024-10-22,2024-10-22T22:30:00Z,FLA,13,MIN,30,1.0,5.0,REG,MIN
